,Vkey,VPsize,VPyear,Score
247,conf/sigir,3545.0,1971.0,79134.0
184,conf/cikm,4333.0,1992.0,39261.0
445,conf/trec,1788.0,1992.0,29698.0
1199,conf/ecir,1139.0,1997.0,19476.0
323,conf/www,4501.0,2001.0,18185.0
969,conf/clef,2767.0,2000.0,17981.0
624,journals/sigir,721.0,1971.0,13679.0
629,journals/ipm,2616.0,1963.0,13178.0
576,journals/jasis,5376.0,1973.0,12288.0
161,conf/mm,4156.0,1993.0,10548.0
1004,journals/tois,610.0,1983.0,9284.0
75,conf/kdd,2869.0,1994.0,8105.0
227,conf/aaai,7555.0,1980.0,7719.0
475,conf/acl,4242.0,1979.0,7705.0
1050,journals/ir,432.0,1999.0,7583.0
994,conf/wsdm,533.0,2008.0,7495.0
403,conf/icdm,3266.0,2001.0,7156.0
501,conf/icde,4327.0,1984.0,7127.0
899,journals/tkde,2923.0,1989.0,7060.0
543,conf/jcdl,1597.0,2001.0,6768.0
534,conf/chi,10697.0,1990.0,6558.0
103,conf/ntcir,993.0,1999.0,6537.0
246,conf/icmcs,7286.0,1994.0,6122.0
645,conf/interspeech,17729.0,1987.0,5070.0
129,conf/sigmod,3706.0,1970.0,5062.0
10,conf/icassp,28525.0,1976.0,4996.0
760,conf/icml,3294.0,1988.0,4647.0
2966,conf/riao,642.0,1985.0,4620.0
442,conf/coling,3555.0,1965.0,4492.0
1302,conf/ercimdl,1123.0,1997.0,4358.0
560,conf/ijcai,6188.0,1969.0,4282.0
621,conf/airs,542.0,2004.0,4194.0
2483,conf/spire,577.0,1998.0,4112.0
985,conf/vldb,2641.0,1975.0,4068.0
3400,conf/inex,357.0,2002.0,4053.0
758,conf/nips,5684.0,1987.0,4032.0
1215,journals/cacm,10519.0,1958.0,3925.0
1077,conf/naacl,1498.0,1991.0,3490.0
194,conf/cvpr,6874.0,1993.0,3489.0
119,conf/emnlp,1380.0,1998.0,3202.0
853,conf/mmm,1165.0,1996.0,3169.0
66,conf/icip,17283.0,1994.0,3150.0
391,conf/dasfaa,1628.0,1989.0,3020.0
110,conf/webi,1781.0,2001.0,2953.0
581,conf/iiix,227.0,2006.0,2789.0
847,conf/sdm,1058.0,2001.0,2728.0
106,journals/pvldb,1481.0,2008.0,2717.0
517,conf/lrec,3847.0,2000.0,2686.0
498,conf/sac,5502.0,1993.0,2660.0
418,journals/tmm,1695.0,1999.0,2641.0
