Conferences	Publications	Citation
ICDE - International Conference on Data Engineering	1788	11903
KDD - Knowledge Discovery and Data Mining	817	9105
CIKM - International Conference on Information and Knowledge Management	1470	5355
ICDM - IEEE International Conference on Data Mining	1831	4645
SDM - SIAM International Conference on Data Mining	413	2329
PKDD - Principles of Data Mining and Knowledge Discovery	446	1685
WSDM - Web Search and Data Mining	195	1482
PAKDD - Pacific-Asia Conference on Knowledge Discovery and Data Mining	687	1440
Fuzzy Systems and Knowledge Discovery	4131	1373
DASFAA - Database Systems for Advanced Applications	650	1066
ICWSM - International Conference on Weblogs and Social Media	225	997
GRC - IEEE International Conference on Granular Computing	1188	912
IDEAL - Intelligent Data Engineering and Automated Learning	493	524
ADMA - Advanced Data Mining and Applications	465	454
DaWaK - Data Warehousing and Knowledge Discovery	206	435
ICETET - International Conference on Emerging Trends in Engineering & Technology	712	376
WKDD - Workshop on Knowledge Discovery and Data Mining	524	289
MineNet - Mining Network Data	21	278
ICDM - Industrial Conference on Data Mining	293	270
DOLAP - International Workshop on Data Warehousing and OLAP	71	259
MLDM - Machine Learning and Data Mining in Pattern Recognition	167	236
DMIN - Int. Conf. on Data Mining	391	234
DS - Discovery Science	178	220
RIAO - Recherche d'Information Assistee par Ordinateur	105	158
ASONAM - Advances in Social Network Analysis and Mining	276	149
KDID - International Workshop on Knowledge Discovery in Inductive Databases	17	74
MLG - Mining and Learning with Graphs	27	45
WebMine - Workshop on Web Mining	9	38
DW - Data Warehousing	59	34
Actes dIC - Journées Francophones dIngénierie des Connaissances	74	8
