Journals	Publications	Citation
TIT - IEEE Transactions on Information Theory	3866	40452
Automatica	2024	17919
TCS - Theoretical Computer Science	2856	10205
ENTCS - Electronic Notes in Theoretical Computer Science	2476	9338
TEC - IEEE Transactions on Evolutionary Computation	434	5682
DAM - Discrete Applied Mathematics	1649	5294
ASC - Applied Soft Computing	1117	5036
SIAMCOMP - Siam Journal on Computing	589	5036
Microelectronics Reliability	1885	4488
JCT - Journal of Combinatorial Theory	1119	4098
CONCURRENCY - Concurrency and Computation: Practice and Experience	751	3838
Journal of Global Optimization	816	2664
IANDC - Information and Computation/information and Control	604	2563
EJC - European Journal of Combinatorics	1010	2534
JCSS - Journal of Computer and System Sciences	503	2425
FUIN - Fundamenta Informaticae	938	2393
ECCC - Electronic Colloquium on Computational Complexity	621	2302
Algorithmica	663	2285
TALG - ACM Transactions on Algorithms	421	2107
ORL - Operations Research Letters	718	1964
TR - IEEE Transactions on Reliability	562	1954
TOMS - ACM Transactions on Mathematical Software	213	1879
SIAMDM - Siam Journal on Discrete Mathematics	602	1797
INFORMS - Informs Journal on Computing	297	1655
Electr. J. Comb. - The Electronic Journal of Combinatorics	444	1608
RSA - Random Structures and Algorithms	335	1605
COMGEO - Computational Geometry: Theory and Applications	439	1460
JAT - Journal of Approximation Theory	638	1455
PerCom - Pervasive and Mobile Computing	254	1318
MST - Theory of Computing Systems / Mathematical Systems Theory	455	1287
JDA - Journal of Discrete Algorithms	288	1211
APAL - Annals of Pure and Applied Logic	523	1203
TOCL - ACM Transactions on Computational Logic	192	1194
CPC - Combinatorics, Probability & Computing	276	1160
EC - Evolutionary Computation	190	1139
JCO - Journal of Combinatorial Optimization	328	1130
LOGCOM - Journal of Logic and Computation	361	1088
MSCS - Mathematical Structures in Computer Science	288	1087
Journal of Complexity	298	1076
IJFCS - International Journal of Foundations of Computer Science	442	1026
IJUFKS - International Journal of Uncertainty, Fuzziness and Knowledge-based Systems	305	973
SIGACT - Sigact News	424	912
Numerical Algorithms	453	910
LMCS - Logical Methods in Computer Science	212	864
NC - Natural Computing	251	805
BIT - Bit Numerical Mathematics	293	728
Discrete Optimization	241	717
FTNET - Foundations and Trends in Networking	13	705
IJAC - International Journal of Algebra and Computation	336	691
Microprocessors and Microsystems	341	690
Optimization Letters	240	681
DEDS - Discrete Event Dynamic Systems	120	553
JEA - ACM Journal of Experimental Algorithms	201	529
MLQ - Mathematical Logic Quarterly	325	514
ACS - Applied Categorical Structures	228	500
Cybernetics and Systems	289	496
ACTA - Acta Informatica	159	496
AAECC - Applicable Algebra in Engineering, Communication and Computing	160	483
ARSCOM - Ars Combinatoria	385	467
CC - Computational Complexity	124	459
Theory of Computing	58	459
IGPL - Logic Journal of The Igpl / Bulletin of The Igpl	259	427
Arch. Math. Log. - Archive for Mathematical Logic	290	409
IJCGA - International Journal of Computational Geometry and Applications	178	409
JAL - Journal of Algorithms	79	377
JMMA - Journal of Mathematical Modelling and Algorithms	142	375
ITA - Theoretical Informatics and Applications	168	371
JANCL - Journal of Applied Non-classical Logics	166	347
JOLLI - Journal of Logic, Language and Information	127	341
JTAER - Journal of Theoretical and Applied Electronic Commerce Research	138	332
JGAA - Journal of Graph Algorithms and Applications	104	312
DMTCS - Discrete Mathematics & Theoretical Computer Science	170	228
NGC - New Generation Computing	129	224
Order - A Journal on The Theory of Ordered Sets and Its Applications	166	216
JMM - Journal of Mobile Multimedia	126	215
FTTCS - Foundations and Trends in Theoretical Computer Science	18	212
ACTAC - Acta Cybernetica	125	135
JAMDS - Journal of Applied Mathematics and Decision Sciences	94	130
JIKM - Journal of Information & Knowledge Management	152	110
MA - Journal of Multivariate Analysis	85	109
SCL - Systems & Control Letters	104	107
AOR - Algorithmic Operations Research	68	93
ACM Communications in Computer Algebra	212	50
FTSTO - Foundations and Trends in Stochastic Systems	4	40
FFA - Finite Fields and Their Applications	42	36
TOCT - ACM Transactions on Computation Theory	26	32
Annals - Annals of Operations Research	8	27
Algol Bulletin	1	12
CJTCS - Chicago Journal of Theoretical Computer Science	2	10
JOCN - Journal of Cognitive Neuroscience	1	10
CMOT - Computational & Mathematical Organization Theory	1	3
CYS - Computación Y Sistemas	4	0
ENDM - Electronic Notes in Discrete Mathematics	2	0
Synthese	1	0
